,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,RatingDlg.exe,227592,332,5,1406531713,0,0,224,258,267,9,0,91136,127488,0,87886,4096,4194304,4096,512,5,0,0,0,5,0,233472,1024,264682,2,33088,1048576,4096,1048576,4096,0,16,91136.0,6.406512747746313,1610612768.0,2048.0,4.430258170113248,3221225536.0,0
1,clmediaparsersb.exe,7452952,332,5,1441966837,0,0,224,259,267,9,0,6398464,1037312,0,1130625,4096,4194304,4096,512,5,0,0,0,5,0,7458816,1024,7472501,2,32768,1048576,4096,1048576,4096,0,16,6398464.0,6.522573761482098,1610612768.0,137728.0,5.0417017478524535,3221225536.0,0
2,qemu-system-microblaze.exe,6557656,34404,10,0,0,0,240,559,523,2,31,3027456,6552576,211456,5296,4096,4194304,4096,512,4,0,0,0,5,2,6787072,1024,6588274,3,1376,2097152,4096,1048576,4096,0,16,3027456.0,6.3365487298613505,1615855712.0,466944.0,1.8317656811105303,3227516992.0,0
3,MSBuild.exe,261688,332,3,1553756459,0,0,224,290,267,48,0,228352,16896,0,236090,8192,4194304,8192,512,4,0,0,0,6,0,262144,512,290931,3,34144,1048576,4096,1048576,4096,0,16,228352.0,5.962949504529871,1610612768.0,,,,0
4,despeckle.exe,55856,34404,11,0,39424,0,240,47,523,2,33,17920,37888,7626240,5312,4096,4194304,4096,512,4,0,0,0,5,2,7696384,1024,83105,2,0,2097152,4096,1048576,4096,0,16,17920.0,6.119964313610486,1615855712.0,512.0,0.9684511259142747,3226468416.0,0
5,buildtest_c_pem2.exe,5896,332,2,1587102096,0,0,224,258,267,14,25,4096,776,0,7802,4096,4194304,4096,512,6,0,0,0,6,0,24576,1024,0,3,33088,1048576,4096,1048576,4096,0,16,,,,,,,0
6,pnputil.exe,259072,34404,7,2270447892,0,0,240,34,523,14,12,181760,80384,0,181888,4096,5368709120,4096,512,10,0,10,0,10,0,282624,1024,279283,3,49504,524288,8192,1048576,4096,0,16,181760.0,6.332273565804043,1610612768.0,512.0,2.3406603491700526,3221225536.0,0
7,md2test.exe,8788,332,2,1587102090,0,0,224,258,267,14,25,6656,1108,0,10490,4096,4194304,4096,512,6,0,0,0,6,0,53248,1024,0,3,33088,1048576,4096,1048576,4096,0,16,,,,,,,0
8,Authy Desktop.exe,454072,332,6,1501830583,0,0,224,258,267,14,10,113664,327168,0,35540,4096,4194304,4096,512,6,0,0,0,6,0,462848,1024,488814,2,33088,1048576,4096,1048576,4096,0,16,113664.0,6.641817800918913,1610612768.0,5632.0,4.120219753724394,3221225536.0,0
9,fsnotifier64.exe,105968,34404,6,1536782773,0,0,240,34,523,12,0,58368,49664,0,14012,4096,5368709120,4096,512,5,2,0,0,5,2,122880,1024,119864,3,33120,1048576,4096,1048576,4096,0,16,58368.0,6.461032727472887,1610612768.0,6144.0,2.8227084029103415,3221225536.0,0
