,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,qemu-system-microblaze.exe,11983360,34404,6,0,11825664,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,12206080,1536,0,3,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.919470120889538,1610612832.0,262656.0,5.532361421573262,3221225536.0,1
1,Disco,90950968,332,12,1581035332,90942464,0,224,290,267,14,0,70850048,20091392,0,70606416,4096,4194304,4096,512,5,1,0,0,5,1,91590656,1024,90996002,2,49472,1048576,4096,1048576,4096,0,16,70850048.0,6.742102997888154,1610612768.0,283136.0,4.088447373246985,3221225536.0,1
2,MSBuild.exe,261688,332,3,1553756459,0,0,224,290,267,48,0,228352,16896,0,236090,8192,4194304,8192,512,4,0,0,0,6,0,262144,512,290931,3,34144,1048576,4096,1048576,4096,0,16,228352.0,5.962949504529871,1610612768.0,,,,1
3,DeviceEje,5243904,34404,6,0,5086208,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5468160,1536,0,2,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.913673719897265,1610612832.0,262656.0,5.532095456667029,3221225536.0,1
4,pnputil.exe,5477376,34404,6,0,5319680,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5701632,1536,0,3,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.914019539105714,1610612832.0,262656.0,5.534158472848756,3221225536.0,1
5,md2test.exe,4557312,332,6,0,4399616,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4665344,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.0653267873222685,1610612832.0,238080.0,6.010829607253669,3221225536.0,1
6,rc5test.exe,4557312,332,6,0,4399616,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4665344,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.065319672889479,1610612832.0,238080.0,6.010829607253669,3221225536.0,1
7,fsnotifier64.exe,5317632,34404,6,0,5159936,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5541888,1536,0,3,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.915435987466493,1610612832.0,262656.0,5.533833650620916,3221225536.0,1
8,cli-,5247488,34404,6,0,5089792,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5468160,1536,0,3,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.913529760368297,1610612832.0,262656.0,5.53181263138427,3221225536.0,1
9,AppSharingHookController,5362688,34404,6,0,5204992,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5586944,1536,0,2,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.914514504818602,1610612832.0,262656.0,5.532478577229602,3221225536.0,1
10,clienthellote,4561408,332,6,0,4403712,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4669440,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.0651589151973795,1610612832.0,238080.0,6.0100893347830056,3221225536.0,1
11,buildtest_c_,4528640,332,6,0,4370944,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4636672,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.066917111091898,1610612832.0,238080.0,6.011552833350738,3221225536.0,1
12,runnerw.exe,4651520,332,6,0,4493824,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4759552,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.06190721895505,1610612832.0,238080.0,6.003048363561231,3221225536.0,1
13,nunit-console-dotnet2.exe,32768,332,3,1334237090,0,0,224,258,267,8,0,20480,8192,0,27054,8192,4194304,8192,4096,4,0,0,0,4,0,49152,4096,0,3,34112,1048576,4096,1048576,4096,0,16,20480.0,5.2493394470907,1610612768.0,,,,1
14,deluge-deb,4553216,332,6,0,4395520,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4661248,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.0649477979035895,1610612832.0,238080.0,6.011143267607898,3221225536.0,1
15,chat,4704768,332,6,0,4547072,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,4812800,1024,0,3,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.068717987340204,1610612832.0,238080.0,6.007695149630355,3221225536.0,1
16,UbisoftGameLauncher.exe,7794176,332,6,0,7636480,0,224,771,267,3,0,1965568,238080,0,366016,4096,4194304,4096,512,6,1,1,0,6,1,7901184,1024,0,2,33024,1048576,4096,1048576,4096,0,16,1965568.0,6.075294082691507,1610612832.0,238080.0,6.010721887816235,3221225536.0,1
17,w64.exe,5325824,34404,6,0,5168128,0,240,547,523,3,0,2321408,262656,0,409280,4096,4194304,4096,512,6,1,1,0,6,1,5550080,1536,0,2,33024,2097152,4096,1048576,4096,0,16,2321408.0,5.915479276103737,1610612832.0,262656.0,5.53202885538172,3221225536.0,1
