,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,qemu-system-microblaze.exe,6557656,34404,10,0,0,0,240,559,523,2,31,3027456,6552576,211456,5296,4096,4194304,4096,512,4,0,0,0,5,2,6787072,1024,6588274,3,1376,2097152,4096,1048576,4096,0,16,3027456,6.33654872986135,1615855712,466944,1.83176568111053,3227516992,0
1,MSBuild.exe,261688,332,3,1553756459,0,0,224,290,267,48,0,228352,16896,0,236090,8192,4194304,8192,512,4,0,0,0,6,0,262144,512,290931,3,34144,1048576,4096,1048576,4096,0,16,228352,5.96294950452987,1610612768,,,,0
2,despeckle.exe,55856,34404,11,0,39424,0,240,47,523,2,33,17920,37888,7626240,5312,4096,4194304,4096,512,4,0,0,0,5,2,7696384,1024,83105,2,0,2097152,4096,1048576,4096,0,16,17920,6.11996431361049,1615855712,512,0.968451125914275,3226468416,0
3,buildtest_c_pem2.exe,8704,332,4,1587102096,0,0,224,258,267,14,25,3584,4608,0,4686,4096,4194304,4096,512,6,0,0,0,6,0,20480,1024,0,3,33088,1048576,4096,1048576,4096,0,16,3584,5.89302907028705,1610612768,512,0.280401167658946,3221225536,0
4,pnputil.exe,259072,34404,7,2270447892,0,0,240,34,523,14,12,181760,80384,0,181888,4096,5368709120,4096,512,10,0,10,0,10,0,282624,1024,279283,3,49504,524288,8192,1048576,4096,0,16,181760,6.33227356580404,1610612768,512,2.34066034917005,3221225536,0
5,md2test.exe,14336,332,4,1587102090,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168,6.12267868872759,1610612768,512,0.300710434660052,3221225536,0
6,rc5test.exe,14336,332,4,1587102091,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168,6.12267868872759,1610612768,512,0.300710434660052,3221225536,0
7,Authy Desktop.exe,454072,332,6,1501830583,0,0,224,258,267,14,10,113664,327168,0,35540,4096,4194304,4096,512,6,0,0,0,6,0,462848,1024,488814,2,33088,1048576,4096,1048576,4096,0,16,113664,6.64181780091891,1610612768,5632,4.12021975372439,3221225536,0
8,fsnotifier64.exe,105968,34404,6,1536782773,0,0,240,34,523,12,0,58368,49664,0,14012,4096,5368709120,4096,512,5,2,0,0,5,2,122880,1024,119864,3,33120,1048576,4096,1048576,4096,0,16,58368,6.46103272747289,1610612768,6144,2.82270840291034,3221225536,0
9,aria_dump_log.exe,3569064,34404,7,1557783675,0,0,240,34,523,14,20,299520,12144640,0,205028,4096,5368709120,4096,512,6,0,0,0,6,0,12464128,1024,3633469,3,33120,1048576,4096,1048576,4096,0,16,299520,6.51841806374199,1610612768,1800192,1.79277207742076,3221225536,0
10,runnerw.exe,126448,332,6,1536774098,0,0,224,258,267,14,0,79872,40960,0,8885,4096,4194304,4096,512,5,1,0,0,5,1,143360,1024,191750,3,33088,1048576,4096,1048576,4096,0,16,79872,6.63242364642018,1610612768,2560,2.33425958331416,3221225536,0
11,nunit-console-dotnet2.exe,32768,332,3,1334237090,0,0,224,258,267,8,0,20480,8192,0,27054,8192,4194304,8192,4096,4,0,0,0,4,0,49152,4096,0,3,34112,1048576,4096,1048576,4096,0,16,20480,5.2493394470907,1610612768,,,,0
