,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,qemu-system-microblaze.exe,6557656,34404,10,0,0,0,240,559,523,2,31,3027456,6552576,211456,5296,4096,4194304,4096,512,4,0,0,0,5,2,6787072,1024,6588274,3,1376,2097152,4096,1048576,4096,0,16,3027456.0,6.3365487298613505,1615855712.0,466944.0,1.8317656811105303,3227516992.0,1
1,MSBuild.exe,261688,332,3,1553756459,0,0,224,290,267,48,0,228352,16896,0,236090,8192,4194304,8192,512,4,0,0,0,6,0,262144,512,290931,3,34144,1048576,4096,1048576,4096,0,16,228352.0,5.962949504529871,1610612768.0,,,,1
2,despeckle.exe,55856,34404,11,0,39424,0,240,47,523,2,33,17920,37888,7626240,5312,4096,4194304,4096,512,4,0,0,0,5,2,7696384,1024,83105,2,0,2097152,4096,1048576,4096,0,16,17920.0,6.119964313610486,1615855712.0,512.0,0.9684511259142747,3226468416.0,1
3,buildtest_c_pem2.exe,8704,332,4,1587102096,0,0,224,258,267,14,25,3584,4608,0,4686,4096,4194304,4096,512,6,0,0,0,6,0,20480,1024,0,3,33088,1048576,4096,1048576,4096,0,16,3584.0,5.893029070287048,1610612768.0,512.0,0.2804011676589459,3221225536.0,1
4,pnputil.exe,259072,34404,7,2270447892,0,0,240,34,523,14,12,181760,80384,0,181888,4096,5368709120,4096,512,10,0,10,0,10,0,282624,1024,279283,3,49504,524288,8192,1048576,4096,0,16,181760.0,6.332273565804043,1610612768.0,512.0,2.3406603491700526,3221225536.0,1
5,md2test.exe,14336,332,4,1587102090,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168.0,6.1226786887275875,1610612768.0,512.0,0.3007104346600516,3221225536.0,1
6,rc5test.exe,14336,332,4,1587102091,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168.0,6.1226786887275875,1610612768.0,512.0,0.3007104346600516,3221225536.0,1
7,Authy Desktop.exe,454072,332,6,1501830583,0,0,224,258,267,14,10,113664,327168,0,35540,4096,4194304,4096,512,6,0,0,0,6,0,462848,1024,488814,2,33088,1048576,4096,1048576,4096,0,16,113664.0,6.641817800918913,1610612768.0,5632.0,4.120219753724394,3221225536.0,1
8,fsnotifier64.exe,105968,34404,6,1536782773,0,0,240,34,523,12,0,58368,49664,0,14012,4096,5368709120,4096,512,5,2,0,0,5,2,122880,1024,119864,3,33120,1048576,4096,1048576,4096,0,16,58368.0,6.461032727472887,1610612768.0,6144.0,2.8227084029103415,3221225536.0,1
9,aria_dump_log.exe,3569064,34404,7,1557783675,0,0,240,34,523,14,20,299520,12144640,0,205028,4096,5368709120,4096,512,6,0,0,0,6,0,12464128,1024,3633469,3,33120,1048576,4096,1048576,4096,0,16,299520.0,6.518418063741991,1610612768.0,1800192.0,1.7927720774207585,3221225536.0,1
