,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,buildtest_c_pem2.exe,8704,332,4,1587102096,0,0,224,258,267,14,25,3584,4608,0,4686,4096,4194304,4096,512,6,0,0,0,6,0,20480,1024,0,3,33088,1048576,4096,1048576,4096,0,16,3584.0,5.893029070287048,1610612768.0,512.0,0.2804011676589459,3221225536.0,1
1,md2test.exe,14336,332,4,1587102090,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168.0,6.1226786887275875,1610612768.0,512.0,0.3007104346600516,3221225536.0,1
2,rc5test.exe,14336,332,4,1587102091,0,0,224,258,267,14,25,7168,28672,0,4689,4096,4194304,4096,512,6,0,0,0,6,0,49152,1024,0,3,33088,1048576,4096,1048576,4096,0,16,7168.0,6.1226786887275875,1610612768.0,512.0,0.3007104346600516,3221225536.0,1
3,runnerw.exe,126448,332,6,1536774098,0,0,224,258,267,14,0,79872,40960,0,8885,4096,4194304,4096,512,5,1,0,0,5,1,143360,1024,191750,3,33088,1048576,4096,1048576,4096,0,16,79872.0,6.6324236464201825,1610612768.0,2560.0,2.3342595833141595,3221225536.0,1
4,buildtest_c_modes.exe,8704,332,4,1587102095,0,0,224,258,267,14,25,3584,4608,0,4686,4096,4194304,4096,512,6,0,0,0,6,0,20480,1024,0,3,33088,1048576,4096,1048576,4096,0,16,3584.0,5.893029070287048,1610612768.0,512.0,0.2804011676589459,3221225536.0,1
5,buildtest_c_rand_drbg.exe,8704,332,4,1587102096,0,0,224,258,267,14,25,3584,4608,0,4686,4096,4194304,4096,512,6,0,0,0,6,0,20480,1024,0,3,33088,1048576,4096,1048576,4096,0,16,3584.0,5.893261855381065,1610612768.0,512.0,0.2804011676589459,3221225536.0,1
6,UbisoftGameLauncher.exe,3247936,332,5,1582736417,0,0,224,258,267,14,16,2551808,717312,0,1908902,4096,4194304,4096,512,6,0,0,0,6,0,3284992,1024,3281880,2,33088,1048576,4096,1048576,4096,0,16,2551808.0,6.501115287299502,1610612768.0,36352.0,4.2070018228565145,3221225536.0,1
7,openssl.exe,487936,332,5,1587102094,0,0,224,258,267,14,25,269312,223744,0,270032,4096,4194304,4096,512,6,0,0,0,6,0,507904,1024,0,3,33088,1048576,4096,1048576,4096,0,16,269312.0,6.264942638275809,1610612768.0,26112.0,7.580720226075355,3221225536.0,1
8,DXCap.exe,921088,332,6,1676605498,0,0,224,290,267,14,12,867328,56832,0,796880,4096,4194304,4096,512,10,0,10,0,10,0,937984,1024,958233,3,49472,262144,8192,1048576,4096,0,16,867328.0,5.515839941319108,1610612768.0,7168.0,5.133419095109437,3221225536.0,1
9,Speccy.exe,5470936,332,6,1479483646,0,0,224,258,267,10,0,3409920,2046976,0,2172669,4096,4194304,4096,512,5,1,0,0,5,1,5517312,1024,5515772,2,33088,1048576,4096,1048576,4096,0,16,3409920.0,6.699813691902179,1610612768.0,299008.0,3.056434540285519,3221225536.0,1
10,MsiMsp.exe,65480,332,5,924215128,0,0,224,258,267,14,15,45056,17920,0,13120,4096,4194304,4096,512,10,0,10,0,6,0,73728,1024,119251,3,49472,262144,8192,1048576,4096,0,16,45056.0,6.437100678688148,1610612768.0,3072.0,1.9423568941974547,3221225536.0,1
11,git-diff-tree.exe,43080,332,12,1582125982,335872,1778,224,294,267,2,33,14336,31232,263680,5360,4096,4194304,4096,512,4,0,1,0,4,0,327680,1536,69224,3,320,2097152,4096,1048576,4096,0,16,14336.0,5.861802786660176,1615855712.0,512.0,0.5956722054970294,3224371264.0,1
12,hposvc08.exe,679312,332,4,1338115504,0,0,224,259,267,9,0,524288,148480,0,265993,4096,4194304,4096,512,5,0,0,0,5,0,700416,1024,721820,2,32768,1048576,4096,1048576,4096,0,16,524288.0,6.570906685223046,1610612768.0,11776.0,4.309546187847555,3221225536.0,1
13,pageant.exe,278392,332,5,1487437915,0,0,224,258,267,14,0,185856,80384,0,97512,4096,4194304,4096,512,5,1,0,0,5,1,282624,1024,334216,2,33088,1048576,4096,1048576,4096,0,16,185856.0,6.716018062802192,1610612768.0,4096.0,1.6351811953190079,3221225536.0,1
14,Windows.WARP.JITService.exe,25600,332,5,3431835639,0,0,224,258,267,14,12,17920,8192,0,17968,4096,4194304,4096,512,10,0,10,0,10,0,40960,1024,77955,2,49472,262144,8192,1048576,4096,0,16,17920.0,6.178804849433015,1610612768.0,512.0,1.6721015969947959,3221225536.0,1
15,ld.exe,1211406,332,8,0,1211392,0,224,815,267,2,29,790016,1210368,21504,5376,4096,4194304,4096,512,4,0,1,0,4,0,1253376,1024,1237941,3,0,12582912,4096,1048576,4096,0,16,790016.0,6.1916428482170245,1615855712.0,6656.0,2.9982277479512716,3227516992.0,1
16,shutdown.exe,23552,332,6,340762696,0,0,224,258,267,14,12,14336,9728,0,16400,4096,4194304,4096,512,10,0,10,0,10,0,40960,1024,32748,3,49472,262144,8192,1048576,4096,0,16,14336.0,6.177757022942532,1610612768.0,512.0,0.24044503450968063,3221225536.0,1
