,Filename,Size,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,.textSize,.textEntropy,.textCharacteristics,.dataSize,.dataEntropy,.dataCharacteristics,Packed
0,qemu-system-microblaze.exe,2399192,34404,3,0,0,0,240,559,523,2,31,2387968,12288,4419584,6808576,4423680,4194304,4096,512,4,0,0,0,5,2,6823936,4096,0,3,1376,2097152,4096,1048576,4096,0,16,0,0.0,3758096512,2385920,7.820474322598633,3758096448,1
1,despeckle.exe,39472,34404,3,0,39424,0,240,47,523,2,33,16384,8192,7684096,7703776,7688192,4194304,4096,512,4,0,0,0,5,2,7712768,4096,0,2,0,2097152,4096,1048576,4096,0,16,0,0.0,3758096512,16384,7.623680903151034,3758096448,1
2,buildtest_c_pem2.exe,7168,332,3,1587102096,0,0,224,258,267,14,25,8192,4096,20480,28576,24576,4194304,4096,512,6,0,0,0,6,0,36864,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,5120,6.908987335482495,3758096448,1
3,pnputil.exe,145920,34404,3,2270447892,0,0,240,34,523,14,12,139264,8192,151552,293248,155648,5368709120,4096,512,10,0,10,0,10,0,303104,4096,0,3,49504,524288,8192,1048576,4096,0,16,0,0.0,3758096512,138752,7.750544121827909,3758096448,1
4,md2test.exe,10240,332,3,1587102090,0,0,224,258,267,14,25,8192,4096,45056,56272,49152,4194304,4096,512,6,0,0,0,6,0,61440,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,8192,7.289485240654392,3758096448,1
5,rc5test.exe,10240,332,3,1587102091,0,0,224,258,267,14,25,8192,4096,45056,56272,49152,4194304,4096,512,6,0,0,0,6,0,61440,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,8192,7.289598642232123,3758096448,1
6,fsnotifier64.exe,64496,34404,3,1536782773,0,0,240,34,523,12,0,57344,4096,69632,127760,73728,5368709120,4096,512,5,2,0,0,5,2,135168,4096,0,3,33120,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,54784,7.677278153249232,3758096448,1
7,aria_dump_log.exe,1101224,34404,3,1557783675,0,0,240,34,523,14,20,1093632,4096,11382784,12477888,11386880,5368709120,4096,512,6,0,0,0,6,0,12484608,4096,0,3,33120,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,1092096,7.772673810914331,3758096448,1
8,runnerw.exe,80880,332,3,1536774098,0,0,224,258,267,14,0,73728,4096,77824,151552,81920,4194304,4096,512,5,1,0,0,5,1,159744,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,70656,7.678790676124648,3758096448,1
9,buildtest_c_modes.exe,7168,332,3,1587102095,0,0,224,258,267,14,25,8192,4096,20480,28576,24576,4194304,4096,512,6,0,0,0,6,0,36864,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,5120,6.905913057755917,3758096448,1
10,buildtest_c_rand_drbg.exe,7168,332,3,1587102096,0,0,224,258,267,14,25,8192,4096,20480,28592,24576,4194304,4096,512,6,0,0,0,6,0,36864,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,5120,6.919194533529977,3758096448,1
11,UbisoftGameLauncher.exe,1379648,332,3,1582736417,0,0,224,258,267,14,16,1212416,163840,2138112,3351136,2142208,4194304,4096,512,6,0,0,0,6,0,3518464,4096,0,2,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,1209856,7.7690989736077,3758096448,1
12,w64.exe,68096,34404,3,0,0,0,240,558,523,2,33,49152,24576,86016,135872,90112,5368709120,4096,512,5,2,0,0,5,2,163840,4096,0,2,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,46592,7.654169972218568,3758096448,1
13,openssl.exe,253952,332,3,1587102094,0,0,224,258,267,14,25,253952,4096,303104,556880,307200,4194304,4096,512,6,0,0,0,6,0,565248,4096,0,3,33088,1048576,4096,1048576,4096,0,16,0,0.0,3758096512,250368,7.833424450723495,3758096448,1
14,nfsadmin.exe,95232,34404,3,1576721774,0,0,240,34,523,14,12,94208,4096,114688,208608,118784,5368709120,4096,512,10,0,10,0,10,0,217088,4096,0,3,49504,524288,8192,1048576,4096,0,16,0,0.0,3758096512,91136,7.730078084513792,3758096448,1
